ZipCode,COVID19 Cases,"CrudeRateper100,000"
64101,SUPP*,Not Caclulated**
64102,SUPP*,Not Caclulated**
64105,34,Not Caclulated**
64106,110,1179.50
64108,99,1269.39
64109,68,704.88
64110,73,425.01
64111,94,528.06
64112,59,706.42
64113,58,483.82
64114,99,405.65
64116,115,1079.91
64117,94,669.04
64118,115,527.91
64119,104,596.98
64120,6,Not Caclulated**
64123,278,2901.88
64124,395,3717.30
64125,54,Not Caclulated**
64126,110,1956.95
64127,254,1643.27
64128,141,1239.12
64129,64,753.12
64130,140,700.14
64131,111,484.04
64132,73,492.68
64133,100,612.82
64134,137,573.85
64136,11,Not Caclulated**
64137,106,995.68
64138,66,488.96
64139,8,Not Caclulated**
64145,45,Not Caclulated**
64146,SUPP*,Not Caclulated**
64147,SUPP*,Not Caclulated**
64149,SUPP*,Not Caclulated**
64151,94,435.85
64152,43,460.88
64153,23,476.98
64154,62,569.07
64155,108,471.27
64156,21,Not Caclulated**
64157,99,497.04
64158,30,595.12
64161,SUPP*,Not Caclulated**
64163,SUPP*,Not Caclulated**
64164,SUPP*,Not Caclulated**
64165,SUPP*,Not Caclulated**
64166,SUPP*,Not Caclulated**
64167,SUPP*,Not Caclulated**
